,0,1,0,1,2
0,19,NOV, Valencia MotoGP™ Official Test,Circuit Ricardo Tormo,SPAIN
1,25,NOV, Jerez MotoGP™ Official Test,Circuito de Jerez - Angel Nieto,SPAIN
2,07,FEB, Sepang MotoGP™ Official Test,Sepang International Circuit,MALAYSIA
3,19,FEB, Jerez Moto2™-Moto3™ Test,Circuito de Jerez - Angel Nieto,SPAIN
4,22,FEB, Qatar MotoGP™ Test,Losail International Circuit,QATAR
5,28,FEB, Qatar Moto2™-Moto3™ Test,Losail International Circuit,QATAR
6,08,MAR,1 -  Grand Prix of Qatar,Losail International Circuit,QATAR
7,22,MAR,2 -   OR Thailand Grand Prix ,TT Circuit Assen,NETHERLANDS
8,05,APR,3 -  Red Bull Grand Prix of The Americas,Circuit Of The Americas,UNITED STATES
9,19,APR,4 -  Gran Premio Motul de la República Argentina,Termas de Río Hondo,ARGENTINA
10,03,MAY,5 -  Gran Premio Red Bull de España,Circuito de Jerez - Angel Nieto,SPAIN
11,04,MAY, JEREZ MotoGP™ Official Test,Circuito de Jerez - Angel Nieto,SPAIN
12,17,MAY,6 -  SHARK Helmets Grand Prix de France,Le Mans,FRANCE
13,31,MAY,7 -  Gran Premio d'Italia Oakley,Autodromo Internazionale del Mugello,ITALY
14,07,JUN,8 -  Gran Premi Monster Energy de Catalunya,Circuit de Barcelona-Catalunya,SPAIN
15,08,JUN, Catalunya MotoGP™ Test,Circuit de Barcelona-Catalunya,SPAIN
16,21,JUN,9 -  HJC Helmets Motorrad Grand Prix Deutschland,Sachsenring,GERMANY
17,28,JUN,10 -  Motul TT Assen,TT Circuit Assen,NETHERLANDS
18,12,JUL,11 -  Finland Grand Prix,KymiRing,FINLAND
19,09,AUG,12 -  Monster Energy Grand Prix České republiky,Automotodrom Brno,CZECH REPUBLIC
20,16,AUG,13 -  myWorld Motorrad Grand Prix von Österreich,Red Bull Ring - Spielberg,AUSTRIA
21,30,AUG,14 -  British Grand Prix,Silverstone Circuit,GREAT BRITAIN
22,13,SEP,15 -  Gran Premio Octo di San Marino e della Riviera di Rimini,Misano World Circuit Marco Simoncelli,ITALY
23,15,SEP, Misano MotoGP™ Test,Misano World Circuit Marco Simoncelli,ITALY
24,04,OCT,16 -  Gran Premio de Aragón,MotorLand Aragón,SPAIN
25,18,OCT,17 -  Motul Grand Prix of Japan,Twin Ring Motegi,JAPAN
26,25,OCT,18 -  Australian Motorcycle Grand Prix,Phillip Island,AUSTRALIA
27,01,NOV,19 -  Shell Malaysia Motorcycle Grand Prix,Sepang International Circuit,MALAYSIA
28,15,NOV,20 -  Gran Premio Motul de la Comunitat Valenciana,Circuit Ricardo Tormo,SPAIN
