,Name,Team,Bike,BirthPlace,Lat_Lon
0,Andrea Dovizioso,Ducati Team,Ducati,Forlimpopoli ,"(44.1873049, 12.1259056)"
1,Johann Zarco,Reale Avintia Racing,Ducati,Cannes,"(43.5515198, 7.0134418)"
2,Danilo Petrucci,Ducati Team,Ducati,Terni,"(42.6537515, 12.4398116328367)"
3,Maverick Viñales,Monster Energy Yamaha MotoGP,Yamaha,Figueres,"(42.2666314, 2.9638434)"
4,Fabio Quartararo,Petronas Yamaha SRT,Yamaha,Nice,"(43.7009358, 7.2683912)"
5,Franco Morbidelli,Petronas Yamaha SRT,Yamaha,Roma,"(41.894802, 12.4853384)"
6,Iker Lecuona,Red Bull KTM Tech 3,KTM,Valencia,"(39.4699014, -0.3759513)"
7,Andrea Iannone,Aprilia Racing Team Gresini,Aprilia,Vasto,"(42.12434, 14.705923)"
8,Takaaki Nakagami,LCR Honda,Honda,Chiba,"(35.549399, 140.2647303)"
9,Brad Binder,Red Bull KTM Factory Racing,KTM,Potchefstroom,"(-26.707778, 27.095833)"
10,Cal Crutchlow,LCR Honda,Honda,Coventry,"(52.4081812, -1.510477)"
11,Joan Mir,Team SUZUKI ECSTAR,Suzuki,Palma de Mallorca,"(39.5695818, 2.6500745)"
12,Aleix Espargaro,Aprilia Racing Team Gresini,Aprilia,Granollers,"(41.6079555, 2.2876008)"
13,Alex Rins,Team SUZUKI ECSTAR,Suzuki,Barcelona,"(41.3828939, 2.1774322)"
14,Jack Miller,Pramac Racing,Ducati,Townsville,"(-19.2569391, 146.8239537)"
15,Pol Espargaro,Red Bull KTM Factory Racing,KTM,Granollers,"(41.6079555, 2.2876008)"
16,Valentino Rossi,Monster Energy Yamaha MotoGP,Yamaha,Urbino,"(43.7262608, 12.6363135)"
17,Tito Rabat,Reale Avintia Racing,Ducati,Barcelona,"(41.3828939, 2.1774322)"
18,Francesco Bagnaia,Pramac Racing,Ducati,Torino,"(45.0677551, 7.6824892)"
19,Alex Marquez,Repsol Honda Team,Honda,Cervera,"(41.6730667, 1.2729426)"
20,Mika Kallio,Red Bull KTM Factory Racing,KTM,Valkeakoski,"(61.2637921, 24.0301278)"
21,Miguel Oliveira,Red Bull KTM Tech 3,KTM,Pragal,"(38.67241955, -9.17591038040252)"
22,Marc Marquez,Repsol Honda Team,Honda,Cervera,"(41.6730667, 1.2729426)"
