,0,1,2,3
0,Andrea Dovizioso,Ducati Team,Bike: Ducati,Forlimpopoli 
1,Johann Zarco,Reale Avintia Racing,Bike: Ducati,Cannes
2,Danilo Petrucci,Ducati Team,Bike: Ducati,Terni
3,Maverick Viñales,Monster Energy Yamaha MotoGP,Bike: Yamaha,Figueres
4,Fabio Quartararo,Petronas Yamaha SRT,Bike: Yamaha,Nice
5,Franco Morbidelli,Petronas Yamaha SRT,Bike: Yamaha,Roma
6,Iker Lecuona,Red Bull KTM Tech 3,Bike: KTM,Valencia
7,Andrea Iannone,Aprilia Racing Team Gresini,Bike: Aprilia,Vasto
8,Takaaki Nakagami,LCR Honda IDEMITSU,Bike: KTM,Chiba
9,Brad Binder,Red Bull KTM Factory Racing,Bike: KTM,Potchefstroom
10,Cal Crutchlow,LCR Honda CASTROL,Bike: Honda,Coventry
11,Joan Mir,Team SUZUKI ECSTAR,Bike: Suzuki,Palma de Mallorca
12,Aleix Espargaro,Aprilia Racing Team Gresini,Bike: Aprilia,Granollers
13,Alex Rins,Team SUZUKI ECSTAR,Bike: Suzuki,Barcelona
14,Jack Miller,Pramac Racing,Bike: Ducati,Townsville
15,Pol Espargaro,Red Bull KTM Factory Racing,Bike: KTM,Granollers
16,Valentino Rossi,Monster Energy Yamaha MotoGP,Bike: Yamaha,Urbino
17,Tito Rabat,Reale Avintia Racing,Bike: Ducati,Barcelona
18,Francesco Bagnaia,Pramac Racing,Bike: Ducati,Torino
19,Alex Marquez,Repsol Honda Team,Bike: Honda,Cervera
20,Mika Kallio,Red Bull KTM Factory Racing,Bike: KTM,Valkeakoski
21,Miguel Oliveira,Red Bull KTM Tech 3,Bike: KTM,Pragal
22,Marc Marquez,Repsol Honda Team,Bike: Honda,Cervera
